type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.600021,2023-02-08,6628,10.06,10.0,16.57
buy,sh.600606,2023-02-08,21715,3.07,3.06,16.61
buy,sh.600927,2023-02-08,3899,17.09,17.03,16.6
buy,sh.601099,2023-02-08,24420,2.73,2.72,16.61
buy,sh.601212,2023-02-08,24154,2.76,2.75,16.61
buy,sz.000729,2023-02-08,5575,11.96,11.91,16.6
buy,sz.000921,2023-02-08,4369,15.26,15.18,16.58
buy,sz.002065,2023-02-08,10555,6.32,6.25,16.49
buy,sz.002261,2023-02-08,8726,7.64,7.62,16.62
buy,sz.002608,2023-02-08,11025,6.05,6.03,16.62
buy,sz.301301,2023-02-08,7637,8.73,8.69,16.59
sell,sh.600927,2023-02-09,3899,,17.02,82.95
sell,sh.601099,2023-02-09,24420,,2.72,83.03
sell,sh.601212,2023-02-09,24154,,2.74,82.73
sell,sz.000729,2023-02-09,5575,,12.28,85.58
sell,sz.000921,2023-02-09,4369,,15.25,83.28
sell,sz.002065,2023-02-09,10555,,6.32,83.38
sell,sz.002261,2023-02-09,8726,,7.7,83.99
sell,sz.301301,2023-02-09,7637,,8.59,82.0
buy,sh.600032,2023-02-09,5671,11.7,11.7,16.59
buy,sh.600863,2023-02-09,21521,3.08,3.08,16.57
buy,sz.000883,2023-02-09,16277,4.08,4.07,16.56
sell,sh.600021,2023-02-10,6628,,10.19,84.42
sell,sh.600606,2023-02-10,21715,,3.08,83.6
sell,sh.600863,2023-02-10,21521,,3.15,84.74
sell,sz.000883,2023-02-10,16277,,4.14,84.23
buy,sh.600008,2023-02-10,26332,2.54,2.53,16.65
buy,sh.600141,2023-02-10,2394,27.9,27.85,16.67
buy,sh.600153,2023-02-10,6360,10.5,10.42,16.57
buy,sh.600801,2023-02-10,4767,14.01,14.01,16.7
buy,sh.601866,2023-02-10,28158,2.37,2.37,16.68
sell,sh.600141,2023-02-13,2394,,27.83,83.28
sell,sh.600153,2023-02-13,6360,,10.42,82.84
sell,sh.600801,2023-02-13,4767,,14.35,85.51
buy,sh.601212,2023-02-13,24416,2.75,2.74,16.72
buy,sz.002244,2023-02-13,6553,10.25,10.2,16.71
sell,sh.600032,2023-02-14,5671,,11.94,84.64
sell,sz.002608,2023-02-14,11025,,6.1,84.07
buy,sh.601198,2023-02-14,8048,8.36,8.32,16.74
sell,sh.601212,2023-02-15,24416,,2.76,84.24
sell,sz.002244,2023-02-15,6553,,9.94,81.42
buy,sh.600606,2023-02-15,21169,3.18,3.15,16.67
buy,sh.600820,2023-02-15,14288,4.71,4.7,16.79
buy,sh.601000,2023-02-15,27349,2.46,2.45,16.75
buy,sh.603077,2023-02-15,20939,3.21,3.19,16.7
buy,sz.000528,2023-02-15,10780,6.24,6.24,16.82
buy,sz.000883,2023-02-15,16132,4.17,4.15,16.74
buy,sz.000932,2023-02-15,14385,4.68,4.66,16.76
buy,sz.002508,2023-02-15,2520,26.71,26.24,16.53
buy,sz.002608,2023-02-15,10993,6.12,6.1,16.76
sell,sh.600606,2023-02-16,21169,,3.14,83.09
sell,sz.002508,2023-02-16,2520,,25.48,80.26
buy,sh.601928,2023-02-16,9140,7.31,7.27,16.61
buy,sh.688538,2023-02-16,24949,2.68,2.66,16.59
sell,sh.600008,2023-02-17,26332,,2.51,82.62
sell,sh.600820,2023-02-17,14288,,4.66,83.23
sell,sh.601000,2023-02-17,27349,,2.42,82.73
sell,sh.601198,2023-02-17,8048,,8.18,82.29
sell,sh.601866,2023-02-17,28158,,2.34,82.36
sell,sh.601928,2023-02-17,9140,,7.18,82.03
sell,sh.603077,2023-02-17,20939,,3.13,81.92
sell,sz.000528,2023-02-17,10780,,6.17,83.14
sell,sz.000883,2023-02-17,16132,,4.1,82.68
sell,sz.000932,2023-02-17,14385,,4.7,84.51
sell,sz.002608,2023-02-17,10993,,6.08,83.55
sell,sh.688538,2023-02-20,24949,,2.64,82.33
buy,sh.601990,2023-02-21,7321,9.07,8.96,16.4
buy,sh.603000,2023-02-21,3644,18.23,18.22,16.6
buy,sh.688220,2023-02-21,1025,64.78,64.37,16.49
buy,sz.000528,2023-02-21,10296,6.45,6.39,16.45
buy,sz.300002,2023-02-21,11093,5.99,5.98,16.58
sell,sh.601990,2023-02-22,7321,,9.07,83.0
sell,sh.603000,2023-02-22,3644,,17.28,78.71
sell,sz.300002,2023-02-22,11093,,5.88,81.53
buy,sz.000987,2023-02-22,10924,6.07,6.04,16.5
sell,sz.000987,2023-02-23,10924,,6.08,83.02
buy,sh.600153,2023-02-23,6412,10.31,10.28,16.48
buy,sh.600435,2023-02-23,5416,12.21,12.08,16.36
buy,sh.603000,2023-02-23,3788,17.46,17.17,16.26
buy,sh.603298,2023-02-23,4429,14.93,14.74,16.32
buy,sh.688322,2023-02-23,2069,31.96,31.65,16.37
buy,sz.000825,2023-02-23,13731,4.82,4.79,16.44
buy,sz.002608,2023-02-23,10731,6.16,6.15,16.5
buy,sz.300002,2023-02-23,11208,5.9,5.8,16.25
sell,sh.603000,2023-02-24,3788,,17.18,81.35
sell,sh.603298,2023-02-24,4429,,14.57,80.66
buy,sh.601990,2023-02-24,7289,9.05,8.89,16.2
buy,sz.002926,2023-02-24,8014,8.23,8.18,16.39
buy,sz.301301,2023-02-24,7051,9.35,9.31,16.41
sell,sh.601990,2023-02-27,7289,,8.63,78.63
sell,sh.688220,2023-02-27,1025,,65.47,83.88
sell,sz.000528,2023-02-27,10296,,6.34,81.6
sell,sz.300002,2023-02-27,11208,,5.95,83.36
sell,sz.301301,2023-02-27,7051,,9.28,81.79
buy,sz.000987,2023-02-27,11014,6.01,5.94,16.36
sell,sh.600153,2023-02-28,6412,,10.33,82.79
sell,sh.600435,2023-02-28,5416,,12.5,84.63
sell,sh.688322,2023-02-28,2069,,29.52,76.35
sell,sz.000987,2023-02-28,11014,,5.94,81.78
buy,sz.002261,2023-02-28,6083,10.83,10.72,16.3
sell,sz.000825,2023-03-01,13731,,4.76,81.7
sell,sz.002608,2023-03-01,10731,,6.13,82.23
sell,sz.002926,2023-03-01,8014,,8.13,81.44
buy,sh.600062,2023-03-01,3796,17.34,17.34,16.46
buy,sh.600583,2023-03-01,10449,6.3,6.25,16.33
sell,sh.600062,2023-03-02,3796,,17.26,81.9
sell,sh.600583,2023-03-02,10449,,6.39,83.46
buy,sh.601212,2023-03-02,22670,2.91,2.9,16.44
buy,sh.688538,2023-03-02,24801,2.66,2.66,16.49
buy,sz.000987,2023-03-02,10860,6.07,6.06,16.45
sell,sh.601212,2023-03-03,22670,,2.88,81.61
sell,sz.002261,2023-03-03,6083,,11.42,86.83
buy,sh.600637,2023-03-03,9768,6.76,6.74,16.46
buy,sz.300496,2023-03-03,625,105.47,103.01,16.1
sell,sh.688538,2023-03-06,24801,,2.66,82.46
sell,sz.300496,2023-03-06,625,,104.93,81.98
buy,sz.002558,2023-03-06,6507,10.16,10.08,16.4
buy,sz.300002,2023-03-06,9987,6.62,6.57,16.4
sell,sh.600637,2023-03-07,9768,,6.7,81.81
sell,sz.300002,2023-03-07,9987,,6.27,78.27
sell,sz.000987,2023-03-08,10860,,5.91,80.23
buy,sz.002080,2023-03-08,3003,21.9,21.7,16.29
sell,sz.002080,2023-03-09,3003,,21.16,79.43
sell,sz.002558,2023-03-09,6507,,9.82,79.87
buy,sh.600390,2023-03-09,12782,5.15,5.09,16.27
buy,sh.600637,2023-03-09,9732,6.76,6.73,16.37
buy,sh.600642,2023-03-09,12196,5.39,5.38,16.4
buy,sh.688538,2023-03-09,24634,2.67,2.66,16.38
buy,sz.000528,2023-03-09,10018,6.57,6.52,16.33
buy,sz.000825,2023-03-09,13772,4.78,4.76,16.39
buy,sz.002608,2023-03-09,10543,6.24,6.23,16.42
sell,sh.600390,2023-03-10,12782,,4.98,79.57
sell,sh.600637,2023-03-10,9732,,6.66,81.02
sell,sh.600642,2023-03-10,12196,,5.31,80.95
sell,sh.688538,2023-03-10,24634,,2.67,82.22
sell,sz.000528,2023-03-10,10018,,6.46,80.9
sell,sz.000825,2023-03-10,13772,,4.68,80.57
sell,sz.002608,2023-03-13,10543,,6.04,79.6
buy,sz.002261,2023-03-14,6149,10.6,10.36,15.93
buy,sh.601212,2023-03-15,22605,2.88,2.88,16.28
buy,sz.000032,2023-03-15,1893,34.38,33.84,16.01
buy,sz.002262,2023-03-15,2593,25.1,24.92,16.15
buy,sz.300002,2023-03-15,10345,6.29,6.25,16.16
sell,sh.601212,2023-03-16,22605,,2.88,81.38
sell,sz.002262,2023-03-16,2593,,24.63,79.83
buy,sh.688220,2023-03-21,969,68.03,67.83,16.43
sell,sh.688220,2023-03-22,969,,68.34,82.78
buy,sh.688172,2023-03-22,2897,22.98,22.83,16.53
sell,sh.688172,2023-03-23,2897,,23.34,84.52
buy,sh.688027,2023-03-23,439,152.9,152.65,16.75
sell,sh.688027,2023-03-24,439,,153.86,84.43
sell,sz.300002,2023-03-24,10345,,8.16,105.52
buy,sz.300373,2023-03-24,1237,54.65,54.42,16.83
buy,sz.002080,2023-03-27,2971,22.92,22.6,16.79
sell,sz.002080,2023-03-28,2971,,22.46,83.41
sell,sz.300373,2023-03-29,1237,,52.04,80.47
buy,sz.300002,2023-03-29,8057,8.53,8.47,17.06
buy,sz.300454,2023-03-29,462,148.49,147.27,17.01
sell,sz.300454,2023-03-30,462,,146.12,84.38
buy,sh.688120,2023-03-30,750,91.14,90.22,16.92
buy,sz.300496,2023-03-30,639,106.92,106.12,16.95
buy,sz.300604,2023-03-30,1380,49.57,48.53,16.74
buy,sh.688234,2023-03-31,918,74.0,73.85,16.95
buy,sh.688297,2023-03-31,1210,56.2,55.49,16.79
buy,sz.002080,2023-03-31,3039,22.38,22.33,16.97
buy,sz.300757,2023-03-31,1706,39.85,38.55,16.44
sell,sh.688297,2023-04-03,1210,,56.52,85.49
sell,sz.002080,2023-04-03,3039,,22.31,84.75
buy,sh.688027,2023-04-03,452,152.0,151.92,17.17
sell,sz.002261,2023-04-04,6149,,15.88,122.06
buy,sz.002153,2023-04-04,3374,20.95,19.9,16.79
sell,sz.000032,2023-04-06,1893,,36.24,85.75
sell,sh.688234,2023-04-06,918,,80.52,92.4
buy,sz.002261,2023-04-06,4560,15.67,15.15,17.27
buy,sz.300454,2023-04-06,439,162.62,161.8,17.76
sell,sz.002153,2023-04-07,3374,,18.14,76.51
buy,sh.603650,2023-04-07,1692,42.26,41.46,17.54
buy,sh.688561,2023-04-07,916,78.07,76.23,17.46
buy,sz.000032,2023-04-07,1849,38.67,38.67,17.88
sell,sh.603650,2023-04-10,1692,,39.67,83.9
sell,sh.688027,2023-04-10,452,,160.44,90.65
sell,sh.688120,2023-04-10,750,,105.85,99.23
sell,sh.688561,2023-04-10,916,,76.76,87.89
sell,sz.000032,2023-04-10,1849,,39.26,90.74
sell,sz.002261,2023-04-10,4560,,14.02,79.91
sell,sz.300002,2023-04-10,8057,,11.17,112.5
sell,sz.300454,2023-04-10,439,,154.66,84.87
sell,sz.300496,2023-04-10,639,,117.42,93.79
sell,sz.300604,2023-04-10,1380,,54.55,94.1
sell,sz.300757,2023-04-10,1706,,38.07,81.18
buy,sh.688180,2023-04-10,1400,52.19,52.11,18.24
buy,sz.002608,2023-04-11,11605,6.17,6.1,17.7
buy,sh.600606,2023-04-13,23747,3.02,3.02,17.93
sell,sh.688180,2023-04-14,1400,,54.65,95.64
sell,sz.002608,2023-04-14,11605,,6.33,91.82
sell,sh.600606,2023-04-17,23747,,3.02,89.64
buy,sz.002340,2023-04-17,9850,7.31,7.31,18.0
sell,sz.002340,2023-04-18,9850,,7.31,90.0
buy,sh.601921,2023-04-18,9612,7.5,7.48,17.97
buy,sz.000723,2023-04-18,7926,9.09,9.06,17.95
sell,sh.601921,2023-04-19,9612,,7.87,94.56
buy,sh.600398,2023-04-19,13769,5.23,5.23,18.0
buy,sz.000088,2023-04-19,14976,4.81,4.8,17.97
buy,sz.000958,2023-04-19,17403,4.14,4.12,17.93
buy,sz.002926,2023-04-19,8864,8.13,8.06,17.86
sell,sh.600398,2023-04-20,13769,,5.16,88.81
sell,sz.000088,2023-04-20,14976,,4.82,90.23
sell,sz.000723,2023-04-20,7926,,8.8,87.19
sell,sz.000958,2023-04-20,17403,,4.06,88.32
buy,sh.600985,2023-04-20,6377,11.31,11.18,17.82
sell,sh.600985,2023-04-24,6377,,10.92,87.05
sell,sz.002926,2023-04-26,8864,,7.67,84.98
buy,sh.601000,2023-04-26,21792,3.29,3.21,17.49
buy,sh.601555,2023-04-26,11223,6.38,6.34,17.79
buy,sh.601866,2023-04-26,29965,2.39,2.38,17.83
buy,sz.000088,2023-04-26,14777,4.85,4.79,17.7
buy,sz.000415,2023-04-26,33954,2.11,2.09,17.74
buy,sz.002966,2023-04-26,11569,6.19,6.13,17.73
buy,sh.600021,2023-04-27,7234,9.92,9.82,17.76
buy,sh.600398,2023-04-27,13379,5.37,5.35,17.89
buy,sh.600863,2023-04-27,20196,3.55,3.51,17.72
buy,sz.000528,2023-04-27,10571,6.79,6.77,17.89
buy,sz.002608,2023-04-27,11147,6.44,6.43,17.92
sell,sh.600021,2023-04-28,7234,,9.88,89.34
buy,sh.600998,2023-04-28,12913,5.58,5.55,17.92
sell,sh.600398,2023-05-04,13379,,5.56,92.98
sell,sh.600863,2023-05-05,20196,,3.6,90.88
buy,sh.601212,2023-05-05,25012,2.96,2.96,18.51
sell,sh.600998,2023-05-08,12913,,5.48,88.45
sell,sh.601000,2023-05-08,21792,,3.71,101.06
sell,sh.601555,2023-05-08,11223,,6.67,93.57
sell,sh.601866,2023-05-08,29965,,2.45,91.77
sell,sz.000088,2023-05-08,14777,,5.09,94.02
sell,sz.000528,2023-05-08,10571,,7.35,97.12
sell,sz.002966,2023-05-08,11569,,6.44,93.13
buy,sz.002266,2023-05-08,19342,3.83,3.82,18.47
sell,sh.601212,2023-05-09,25012,,3.04,95.05
sell,sz.000415,2023-05-09,33954,,2.32,98.47
sell,sz.002608,2023-05-09,11147,,7.01,97.68
buy,sz.002065,2023-05-09,9543,7.84,7.72,18.42
sell,sz.002065,2023-05-10,9543,,7.54,89.94
sell,sz.002266,2023-05-10,19342,,3.88,93.81
buy,sz.000519,2023-05-12,3828,19.57,19.41,18.58
sell,sz.000519,2023-05-15,3828,,19.08,91.3
buy,sh.688220,2023-05-15,1059,70.6,68.84,18.23
sell,sh.688220,2023-05-16,1059,,69.9,92.53
buy,sz.300496,2023-05-16,819,91.27,89.21,18.27
sell,sz.300496,2023-05-18,819,,89.66,91.79
buy,sh.688037,2023-05-19,588,127.23,126.22,18.55
buy,sh.688676,2023-05-19,2363,31.7,31.67,18.71
buy,sz.002261,2023-05-19,5793,12.93,12.87,18.64
buy,sh.603650,2023-05-22,2161,34.6,34.5,18.64
buy,sh.688297,2023-05-22,1474,50.74,50.63,18.66
sell,sh.603650,2023-05-23,2161,,34.17,92.3
sell,sh.688037,2023-05-23,588,,121.75,89.49
sell,sh.688676,2023-05-23,2363,,31.83,94.02
buy,sh.688322,2023-05-23,1829,40.77,38.72,17.7
buy,sz.300339,2023-05-23,3197,23.33,22.95,18.34
buy,sz.300604,2023-05-23,1583,47.1,46.23,18.3
buy,sz.300757,2023-05-23,1740,42.85,42.49,18.48
sell,sh.688297,2023-05-24,1474,,50.7,93.41
sell,sz.002261,2023-05-24,5793,,11.76,85.16
sell,sz.300604,2023-05-24,1583,,46.39,91.79
buy,sh.601061,2023-05-24,8268,8.91,8.91,18.42
sell,sh.601061,2023-05-25,8268,,8.66,89.5
sell,sz.300339,2023-05-25,3197,,22.34,89.28
sell,sz.300757,2023-05-25,1740,,45.23,98.38
buy,sh.600685,2023-05-25,2462,29.99,29.35,18.06
buy,sz.000739,2023-05-25,4006,18.43,18.23,18.26
sell,sz.000739,2023-05-26,4006,,17.96,89.93
buy,sh.601865,2023-05-29,2309,32.15,31.69,18.29
sell,sh.601865,2023-05-30,2309,,31.63,91.29
buy,sz.002153,2023-05-30,5064,14.66,14.57,18.45
buy,sz.300857,2023-05-31,4946,15.08,14.87,18.39
sell,sh.600685,2023-06-01,2462,,28.82,88.69
buy,sh.688027,2023-06-01,459,164.65,161.93,18.58
sell,sh.688027,2023-06-02,459,,164.78,94.54
sell,sh.688322,2023-06-02,1829,,51.49,117.72
sell,sz.002153,2023-06-02,5064,,15.21,96.28
sell,sz.300857,2023-06-02,4946,,14.77,91.32
buy,sh.601928,2023-06-02,6394,11.87,11.58,18.51
buy,sh.600637,2023-06-05,9573,7.92,7.88,18.86
buy,sz.000032,2023-06-05,2209,34.3,34.25,18.91
buy,sz.002080,2023-06-05,3924,19.31,19.19,18.83
sell,sh.600637,2023-06-06,9573,,7.96,95.25
sell,sz.000032,2023-06-06,2209,,33.23,91.76
buy,sz.002065,2023-06-06,10282,7.38,7.27,18.69
sell,sh.601928,2023-06-07,6394,,11.46,91.59
sell,sz.002065,2023-06-07,10282,,7.22,92.8
sell,sz.002080,2023-06-07,3924,,18.58,91.13
buy,sz.002558,2023-06-07,3977,18.97,18.66,18.55
buy,sz.300002,2023-06-07,5672,13.3,13.2,18.72
buy,sh.601921,2023-06-08,7674,9.84,9.51,18.24
buy,sz.300496,2023-06-09,794,94.39,94.23,18.7
sell,sz.300496,2023-06-12,794,,101.5,100.74
buy,sz.300757,2023-06-13,1344,56.5,54.54,18.33
buy,sz.002261,2023-06-14,3988,19.09,18.45,18.39
buy,sz.300857,2023-06-14,5244,14.52,14.12,18.51
sell,sz.300857,2023-06-15,5244,,13.85,90.79
buy,sz.000032,2023-06-15,2241,34.11,34.03,19.07
buy,sz.002153,2023-06-15,4678,16.34,15.88,18.57
sell,sh.601921,2023-06-19,7674,,8.97,86.04
sell,sz.000032,2023-06-19,2241,,36.98,103.59
sell,sz.002153,2023-06-19,4678,,15.81,92.45
sell,sz.002261,2023-06-19,3988,,19.37,96.56
sell,sz.002558,2023-06-19,3977,,19.7,97.93
sell,sz.300002,2023-06-19,5672,,13.86,98.27
sell,sz.300757,2023-06-19,1344,,63.67,106.97
buy,sh.688188,2023-06-19,774,99.45,99.44,19.24
buy,sh.688375,2023-06-19,1494,51.55,51.28,19.15
buy,sz.300073,2023-06-19,1593,48.33,48.21,19.2
sell,sh.688188,2023-06-20,774,,99.91,96.66
sell,sz.300073,2023-06-20,1593,,48.1,95.78
sell,sh.688375,2023-06-26,1494,,50.23,93.8
buy,sh.600021,2023-06-29,7345,10.53,10.33,18.97
buy,sz.002945,2023-06-29,5649,13.69,13.57,19.16
buy,sh.601000,2023-06-30,22810,3.39,3.3,18.82
buy,sh.688336,2023-06-30,4548,17.0,16.99,19.32
sell,sh.600021,2023-07-03,7345,,10.33,94.84
sell,sh.601000,2023-07-04,22810,,3.19,90.95
sell,sh.688336,2023-07-04,4548,,17.46,99.26
sell,sz.002945,2023-07-04,5649,,13.63,96.24
buy,sh.601108,2023-07-04,11049,7.01,7.01,19.36
buy,sz.000750,2023-07-04,23469,3.3,3.29,19.3
buy,sz.000830,2023-07-04,8003,9.68,9.67,19.35
buy,sz.002673,2023-07-04,12413,6.24,6.23,19.33
buy,sz.002926,2023-07-04,9452,8.2,8.15,19.26
sell,sh.601108,2023-07-05,11049,,6.98,96.4
sell,sz.000830,2023-07-05,8003,,9.74,97.44
sell,sz.000750,2023-07-06,23469,,3.29,96.52
sell,sz.002673,2023-07-06,12413,,6.22,96.51
sell,sz.002926,2023-07-06,9452,,8.12,95.94
buy,sh.600390,2023-07-06,14642,5.28,5.26,19.25
buy,sh.600879,2023-07-06,9360,8.26,8.24,19.28
buy,sz.000825,2023-07-06,19616,3.94,3.92,19.22
buy,sz.002340,2023-07-06,11163,6.92,6.84,19.09
buy,sz.002670,2023-07-06,8863,8.72,8.63,19.12
buy,sz.002966,2023-07-06,12951,5.97,5.91,19.14
sell,sh.600879,2023-07-07,9360,,8.15,95.36
buy,sh.600497,2023-07-07,13700,5.63,5.42,18.56
buy,sh.688183,2023-07-07,6345,12.15,11.95,18.96
buy,sh.688520,2023-07-07,1285,59.99,59.7,19.18
buy,sz.000050,2023-07-07,8135,9.48,9.45,19.22
sell,sh.600390,2023-07-10,14642,,5.26,96.27
sell,sh.600497,2023-07-10,13700,,5.45,93.33
sell,sh.688183,2023-07-10,6345,,11.59,91.92
sell,sz.000050,2023-07-10,8135,,9.39,95.48
sell,sz.000825,2023-07-10,19616,,3.94,96.61
sell,sz.002340,2023-07-10,11163,,6.79,94.75
sell,sz.002670,2023-07-10,8863,,8.68,96.16
sell,sz.002966,2023-07-10,12951,,5.88,95.19
sell,sh.688520,2023-07-12,1285,,59.46,95.51
buy,sz.000738,2023-07-12,3277,23.48,23.28,19.07
sell,sz.000738,2023-07-13,3277,,23.23,95.16
buy,sz.000415,2023-07-17,35782,2.15,2.13,19.05
buy,sz.000825,2023-07-17,19378,3.97,3.94,19.09
sell,sz.000415,2023-07-18,35782,,2.13,95.27
sell,sz.000825,2023-07-18,19378,,3.95,95.68
buy,sh.603858,2023-07-18,4090,18.81,18.69,19.11
buy,sz.000997,2023-07-18,4125,18.65,18.18,18.75
sell,sh.603858,2023-07-19,4090,,18.53,94.73
sell,sz.000997,2023-07-19,4125,,17.93,92.45
buy,sz.000723,2023-07-19,9808,7.83,7.74,18.98
sell,sz.000723,2023-07-20,9808,,7.78,95.38
buy,sh.600008,2023-07-20,29244,2.63,2.62,19.15
buy,sh.600390,2023-07-20,14470,5.31,5.29,19.14
buy,sz.000932,2023-07-20,15610,4.92,4.91,19.16
sell,sh.600390,2023-07-21,14470,,5.26,95.14
buy,sz.002508,2023-07-21,3408,22.51,22.14,18.86
sell,sz.002508,2023-07-24,3408,,22.14,94.32
buy,sh.600390,2023-07-24,14594,5.26,5.25,19.15
buy,sh.600655,2023-07-24,11421,6.72,6.72,19.19
buy,sh.601198,2023-07-24,9687,7.92,7.92,19.18
buy,sh.603077,2023-07-24,29367,2.61,2.61,19.16
buy,sz.000750,2023-07-24,22713,3.38,3.37,19.14
buy,sz.002966,2023-07-24,12881,5.96,5.89,18.97
sell,sh.600008,2023-07-25,29244,,2.64,96.51
sell,sh.600390,2023-07-25,14594,,5.43,99.06
sell,sh.600655,2023-07-25,11421,,6.73,96.08
sell,sh.603077,2023-07-25,29367,,2.58,94.71
sell,sz.000932,2023-07-25,15610,,5.04,98.34
sell,sz.002966,2023-07-25,12881,,5.93,95.48
buy,sh.600398,2023-07-25,11806,6.49,6.44,19.01
sell,sh.600398,2023-07-26,11806,,6.44,95.04
buy,sh.600637,2023-07-26,10389,7.48,7.42,19.27
buy,sh.601108,2023-07-26,10497,7.4,7.39,19.39
buy,sh.601555,2023-07-26,10112,7.69,7.62,19.26
buy,sz.000415,2023-07-26,34388,2.26,2.26,19.43
buy,sz.000528,2023-07-26,9929,7.83,7.77,19.29
buy,sz.002670,2023-07-26,8241,9.43,9.25,19.06
buy,sz.002673,2023-07-26,11654,6.67,6.63,19.32
buy,sh.600369,2023-07-27,20301,3.83,3.81,19.34
buy,sh.600606,2023-07-27,24687,3.15,3.14,19.38
buy,sh.600801,2023-07-27,6418,12.12,12.06,19.35
buy,sz.301301,2023-07-27,8973,8.67,8.63,19.36
sell,sz.002673,2023-07-31,11654,,7.05,102.7
sell,sz.301301,2023-07-31,8973,,8.67,97.24
sell,sh.600801,2023-08-01,6418,,12.68,101.73
sell,sh.601108,2023-08-01,10497,,8.02,105.23
buy,sh.600390,2023-08-01,14017,5.85,5.8,20.32
buy,sh.600655,2023-08-01,11553,7.09,7.09,20.48
buy,sh.603077,2023-08-01,31717,2.58,2.58,20.46
buy,sz.000830,2023-08-01,8105,10.11,10.04,20.34
sell,sh.600369,2023-08-02,20301,,4.63,117.49
sell,sh.600390,2023-08-02,14017,,5.8,101.62
sell,sh.600606,2023-08-02,24687,,3.3,101.83
sell,sh.600637,2023-08-02,10389,,7.53,97.79
